tar_file,sample_id,pair_idx,slice_idx_i,slice_idx_ip1,corr_original,corr_translated,diff_signed,diff_abs
Water-bilayer-K-1_val_0.tar,0,0,0,1,0.9996116462907965,0.9936994429323378,-0.005912203358458656,0.005912203358458656
Water-bilayer-K-1_val_0.tar,0,1,1,2,0.9989261243635775,0.9949592358402379,-0.003966888523339596,0.003966888523339596
Water-bilayer-K-1_val_0.tar,0,2,2,3,0.9969123483720809,0.9945905967715842,-0.0023217516004966354,0.0023217516004966354
Water-bilayer-K-1_val_0.tar,0,3,3,4,0.9913641119916597,0.9911427180936946,-0.00022139389796516085,0.00022139389796516085
Water-bilayer-K-1_val_0.tar,0,4,4,5,0.9795233914723263,0.970736076488247,-0.008787314984079253,0.008787314984079253
Water-bilayer-K-1_val_0.tar,0,5,5,6,0.96441200348504,0.9542169381373605,-0.010195065347679444,0.010195065347679444
Water-bilayer-K-1_val_0.tar,0,6,6,7,0.957972877982568,0.9612713875120786,0.003298509529510607,0.003298509529510607
Water-bilayer-K-1_val_0.tar,0,7,7,8,0.9603759089349339,0.9639025272650019,0.0035266183300680654,0.0035266183300680654
Water-bilayer-K-1_val_0.tar,0,8,8,9,0.96491654403387,0.9593366253835526,-0.0055799186503173726,0.0055799186503173726
Water-bilayer-K-1_val_0.tar,0,9,9,10,0.9693031832249477,0.962977009009619,-0.0063261742153286615,0.0063261742153286615
Water-bilayer-K-1_val_0.tar,0,10,10,11,0.9732262266624555,0.9653682677713615,-0.007857958891093975,0.007857958891093975
Water-bilayer-K-1_val_0.tar,0,11,11,12,0.977383313482784,0.9655701451041079,-0.011813168378676075,0.011813168378676075
Water-bilayer-K-1_val_0.tar,0,12,12,13,0.9800922714251803,0.9713395088774394,-0.008752762547740933,0.008752762547740933
Water-bilayer-K-1_val_0.tar,0,13,13,14,0.9826441281876344,0.9754746952380149,-0.00716943294961947,0.00716943294961947
Water-bilayer-K-1_val_0.tar,1,0,0,1,0.9298754267325292,0.9201662717893743,-0.00970915494315494,0.00970915494315494
Water-bilayer-K-1_val_0.tar,1,1,1,2,0.8983852725271894,0.5817387759363617,-0.31664649659082766,0.31664649659082766
